ID;v0.12 ;v0.13 ;v0.13.outro;v0.14 ;v0.15;v0.16 ;v0.17;v0.18 ;v2;v3;v4.1;v4.2;v5;v6.1;v6.2;v6.3;v6.4;v6.5;v6.6;v6.7;v6.8;v6.other;v7;v8;v9;v10;v11;v11.1;v11.2;v12;v13.1;v13.2;v14;v15;v16;v17;v18;v19;v20;v21;v21.quais;v22;v23;v24;v24.outro;v25;v25.1;v26;v27.1;v27.2;v27.3;v27.4;v27.5;v27.6;v27.7;v28.1;v28.2;v28.3;v28.4;v28.5;v29;v30;v31;v31.outro;v32;v32.1.1;v32.1.2;v32.1.3;v32.1.4;v32.1.5;v32.1.6;v32.1.7;v32.1.outro;v33;v33.outro;v34;v34.outro;v35;v36;v36.outro;v37;v38.1.1;v38.1.2;v38.1.3;v38.2.1;v38.2.2;v38.2.3;v38.3.1;v38.3.2;v38.3.3;v38.4.1;v38.4.2;v38.4.3;v38.5.1;v38.5.2;v38.5.3;v38.6.1;v38.6.2;v38.6.3;v39;v39.outro;v40;v41;v42;v43;v44;v45.1.1;v45.1.2;v45.2.1;v45.2.2;v45.3.1;v45.3.2;v45.4.1;v45.4.2;v46.1;v46.2;v46.3;v46.4;v46.5;v46.6;v46.7;v46.8;v46.9;v46.outra;v47;v47.1;v48.1;v48.2;v48.3;v48.4;v48.5;v48.outra;v49;v50;v51.1;v51.2;v51.3;v51.4;v52.1;v52.2;v52.3;v52.4;v53;v54;v55;v56.1;v56.2;v56.3;v56.4;v56.outro;v57;v57.1
68;1;;;;09:46;10:10;;;04/08/1955;1;rio de janeiro;leme;30;2;2;2;2;2;2;2;1;;;4;4;11;2;0;1;1;50;0;1;2;2;;guarda municipal;2;1;2;;1;1;1;;1;;1;06:00;22:00;4;90;2;2;1;09:00;15:00;2;90;0;7;2;2;;1;2;2;2;2;1;2;2;;3;;4;;5;;n∆o ocorre acidentes;1;10;170;;12;13;;10;4;;10;3;;8;3;;5;1;;1;;1;1;;1;1;3000;2000;1000;;;;;;2;2;2;1;2;2;2;1;2;condicao climatica;2;;2;2;1;1;2;;1;;1;1;1;4;5;5;5;5;5;2;1;1;2;1;2;;2;
69;1;;;;09:10;09:37;;;15/06/1992;1;rio de janeiro;copacabana;20;2;2;2;2;1;2;2;2;;7.50;2;2;8;1;1;1;2;10;;1;2;1;Office Boy;Office Boy;2;1;2;;1;1;1;;1;;1;05:30;22:00;4;225;1;4;1;06:30;17:30;4;115;1;3;2;3;;1;2;2;2;2;1;2;2;;2;;4;;2;1;;6;10;180;;;;;10;3,75;;7;2.91;;10;3,5;;5;1,83;;1;;1;1;3;1;1;5.000;2.600;;;;800;500;;;2;1;1;2;2;1;1;1;;1;7;2;2;1;1;2;;1;1;1;3;1;5;3;3;3;3;4;2;1;;;;foi ao banheiro;;;
70;2;1;;1;09:44;09:45;10:15;10:44;17/09/1990;1;rio de janeiro;leme;5;2;2;2;2;2;2;2;1;;0.00;1;5;;2;2;1;2;0;5;1;2;1;Construá∆o Civil;Construá∆o Civil, Padeiro;1;2;2;;1;1;1;;1;;1;08:00;18:30;5;200;1;1;1;08:00;16:00;5;100;1;7;3;1;;1;2;2;2;2;1;2;2;;4;;4;;5;1;;3;10;;15;12;;10;10;;8;6;;5;8;;20;4;;5;2;;1;1;1;3;1;5000;;1000;;3000;;700;;;;;;;;;;;chuva;1;5;1;;;;;;1;4;2;2;2;2;5;5;5;5;2;2;2;;;;;;2;
71;1;;;;09:05;09:25;;;24/07/1999;1;rio de janeiro;botafogo;20;2;2;2;2;1;2;2;2;;4;4;4;11;3;0;1;2;0;3;1;1;1;;entregador;2;1;2;;1;1;1;;1;;1;05:00;20:00;5;250;1;5;1;05:00;20:00;5;350;1;7;3;2;;2;;;;;;;;;3;;4;;5;5;;4;10;180;;;;;10;5;;7;4;;10;6;;5;2.50;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;2;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;1;;;;10:00;10:27;;;05/12/1993;1;rio de janeiro;estacio;15;2;2;2;2;1;2;2;2;;30;2;5;12;3;2;1;2;15;0;1;2;2;;;1;1;2;;2;1;1;;1;;1;06:00;22:00;5;300;4;4;1;08:00;16:00;2;120;2;7;3;2;;2;2;2;2;2;2;2;2;;2;;4;;5;3;;2;10;190;0;0;0;0;10;7;30;7;3;;10;3,5;;5;1;;1;;1;1;2;2;1;;;;;;;;;2;2;2;2;2;2;1;2;2;;1;1;1;2;2;2;2;;1;4;;3;3;5;5;5;5;5;5;2;1;2;2;2;2;deixar cadeira fora da barraca;1;1
74;2;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;1;;;;09:11;10:03;;;24/05/1961;2;rio de janeiro;bonssucesso;150;1;2;2;2;2;1;2;2;;50;4;5;12;3;1;1;1;31;;1;1;1;Cuidador de idosos;Comerciante, vendedora;2;2;2;;2;2;1;;1;;1;08:30;19:00;8;190;2;2;2;08:30;17:00;3;90;2;7;2;2;;1;2;2;2;2;1;2;1;;2;;1;;3;1;;2;10;170;15;12;35;24;;;;6;9.5;3;8;3,5;15;4;1;6;;Preáo tabelado entre as barracas, combinado entre eles;1;1;2;1;1;7000;4000;4000;2500;1500;500;200;-200;2;2;1;1;2;2;2;2;2;2;1;8;2;1;1;1;2;2;1;1;1;1;1;1;3;5;1;1;5;2;1;1;2;2;2;2;1;2
77;2;2;;;10:11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;1;;;;09:20;10:00;;;14/10/1986;1;rio de janeiro;copacabana;5;2;2;2;2;2;2;2;1;;0;2;2;3;0;;1;2;0;5;1;2;2;;Calheiro;2;2;2;;1;1;1;;1;;1;  06:00;18:00;5;70;0;5;;06:00;18:00;5;70;0;4;3;1;;2;;;;;;;;;3;;1;;1;5;;2;10;180;3;;;;10;7;0;8;4;1;10;6;1;5;2,5;2;1;;1;1;2;2;1;4000;;50;;4000;;50;;2;2;2;2;2;1;2;2;2;;1;5;1;2;2;2;2;;1;4;5;1;1;1;4;5;2;3;5;2;2;;;;;;2;
79;2;1;;1;09:00;09:02;10:05;10:33;17/08/1989;1;rio de janeiro;leme;2;2;2;2;2;2;2;1;2;;0;2;5;12;0;;1;2;3;;1;2;2;;;1;2;2;;1;1;1;;1;;1;06:00;20:00;10;150;2;2;2;06:00;20:00;10;100;2;7;2;2;;1;2;2;2;2;1;2;2;;2;;1;;3;1;;2;10;170;200;;;;12;6;72;7;4;48;8;3;40;5;2.5;30;1;;1;1;1;2;1;;;;;;;;;2;2;1;2;2;2;2;2;2;;2;;2;2;1;1;2;;1;4;1;1;;5;4;4;3;4;4;2;1;2;2;2;2;horario;1;1
80;2;;;2;09:10;09:13;09:55;09:57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;1;;;;09:15;09:50;;;02/07/1964;1;rio de janeiro;leme;2;2;2;2;2;2;2;2;1;;0;4;5;;1;0;1;2;10;0;1;1;1;Corretor de imoveis;Programaá∆o de dados;2;1;2;;1;1;1;;1;;1;08:00;21:00;7;175;4;4;1;09:00;18:00;4;175;;5;2;0;onde + barato;1;2;2;2;2;1;2;2;;2;;1;;1;;0;1;10;220;27.5;;;;12;6;;6;3;;8;3,5;20;4;1;;2;;1;1;2;2;1;5500;2000;2250;1000;3000;1000;1500;750;2;2;1;2;2;2;2;2;2;equipamento velho;1;3.5;;;;;;;;;;;;;;;;;;;;;;;;;;
82;1;;;;09:00;09:30;;;24/07/1986;1;rio de janeiro;botafogo;60;2;2;2;2;2;2;2;1;;;2;5;;3;1;1;2;10;;1;2;1;Barraquinha de CafÇ;Entregador;2;1;1;"Leme; Leblon;Arpoador; Copacabana";1;1;1;;1;;1;06:00;22:30;7;200;1;;1;07:30;18:00;2;30;0;6;2;2;;1;2;2;2;2;1;2;2;;4;;1;;4;5;;2;10;170;10;0;0;0;0;0;0;6;3.2;10;8;4;5;4;1;10;2;;1;1;1;2;1;11000;200;5.500;;200;200;;;2;2;1;2;2;2;2;2;2;;1;7;2;2;1;1;2;;1;1;1;1;;5;5;3;3;3;5;2;1;2;1;2;2;2;2;
83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;2;1;;2;09:20;09:21;10:26;10:27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;2;1;;1;09:29;09:30;09:40;10:24;24/07/1989;1;rio de janeiro;rocinha;20;2;2;2;2;1;2;2;2;;;4;5;;2;0;1;1;4;0;1;2;1;;garcom;1;1;2;;1;1;0;auxiliar;1;;1;07:00;22:00;9;;6;6;1;08:00;16:00;4.5;;2;7;2;2;3;1;2;2;2;2;1;2;2;;3;;0;chuveirao;1;1;;2;10;180;20;;;;12,5;4;;6;3.17;;8;3,5;;5;1;;1;;1;1;2;2;1;6000;3000;5000;2500;2000;1000;;;2;1;1;2;2;2;2;2;2;falta de estrutura e logistica;1;6;1;2;2;2;2;;2;1;1;1;1;5;5;5;3;3;5;1;1;2;2;1;2;2;1;1
86;2;2;;2;09:33;09:35;10:33;10:34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;2;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;1;;;;09:16;09:31;;;26/01/1988;1;rio de janeiro;leme;10;2;2;2;2;2;2;2;1;;0;2;5;;2;1;1;1;7;2;1;2;1;;Dj e Eventos;2;1;2;;2;1;1;;1;;1;07:00;20:00;10;100;2;2;1;08:00;18:00;4;70;1;6;2;2;;1;2;2;2;2;1;2;2;;4;;1;;1;1;;4;15;220;50;;;;10;5;30;7;3;12;3.5;8;10;1;5;12;2;100% do lucro;1;1;1;2;1;5000;3000;2000;1000;2000;1000;1000;500;;;1;;;;;1;;;1;2;1;;;;;;1;2;1;;;1;5;5;3;1;5;2;2;;;;;;;
89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;1;;;;09:12;09:50;;;15/12/2002;1;nova iguacu;;120;1;1;2;2;2;2;2;2;;40;4;3;11;7;3;1;2;5;;1;2;2;;n∆o tinha;2;2;2;;1;1;1;;1;;1;05:30;19:30;7;300;7;7;1;06:00;19:30;3;150;3;7;3;1,2;;1;2;2;2;2;1;2;2;;2;;4;;5;1;;2;10;180;2;;;;10;5.4;20;7;3;20;8;3;20;5;1;20;1;;1;1;1;1;2;20000;10000;10000;5000;10000;5000;1000;500;2;2;1;2;2;2;2;2;1;;1;7;2;;;;;;2;2;5;1;1;1;4;2;2;1;2;1;1;2;1;2;2;;1;2
92;2;1;;1;09:00;;09:44;10:07;09/08/2001;1;rio de janeiro;santa cruz;120;1;1;2;2;2;2;2;2;;30;4;5;;5;1;1;2;0;9;1;2;2;;"bar;chaveiro";1;2;2;;1;1;1;;1;;1;07:30;19:00;5;100;0;;;07:00;18:00;4;50;0;7;2;2;;2;;;;;;;;;2;;4;;4;6;;1;6;190;20;0;0;0;10;4.16;4;6;4;5;8;2.5;5;5;1;;1;;1;1;1;2;1;1000;600;1000;600;600;400;;;2;2;1;2;2;1;1;2;2;falta de um deposito;1;4;2;2;1;1;2;;1;1;5;;;5;3;3;2;4;4;2;1;2;2;2;2;;1;1
93;1;;;;09:08;09:36;;;10/03/1948;1;rio de janeiro;sao joao;120;1;2;2;2;2;2;2;2;;0.00;0;3;;1;0;1;1;45;0;1;1;1;bico;roca;2;2;1;todas;2;1;1;;1;;1;07:00;20:00;1;60;0;;;07:00;20:00;1;60;0;7;1;"1;2";;2;;;;;;;;;3;;4;;4;;;1;3;40;25;;;;7;4;24;3;3.16;12;5;3,8;10;3;1;5;4;;1;1;2;1;1;;;;;;;;;2;2;1;2;2;2;2;2;2;;1;10;;;;;;;1;1;;;;;3;5;2;5;4;2;1;1;2;2;2;falta do titular;1;1
94;2;2;;1;09:00;09:05;09:50;10:20;;1;santa cruz ;;180;1;2;2;2;2;2;2;2;;50;4;2;5;5;1;1;2;2;;1;2;2;;;2;2;2;;1;1;1;;1;;1;05:30;;10;;0;10;;06:00;;5;;0;7;"1;2;3";1,2,3;;2;2;2;2;2;2;2;2;;2;;0;Subterraneo;5;1;;2;7.5;180;;;;;11;5;;7;3.3;;8;3;;5;0,6;;2;;2;1;1;2;1;;;;;;;;;1;2;2;2;2;2;2;2;2;;2;;2;1;2;2;2;;1;4;2;1;1;5;5;5;3;3;5;2;1;2;2;2;2;;2;
95;2;0;Barraca n∆o esatava montada;2;10:21;10:21;11:12;11:12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;2;0;Barraca n∆o esatava montada;2;10:22;10:22;11:13;11:13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;2;0;Barraca n∆o estava montada;;10:23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;2;2;;2;09:17;09:20;10:09;10:10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;2;0;N∆o quis assinar o contrato;2;09:39;09:48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;2;2;;1;09:36;;10:30;10:59;04/01/1999;1;rio de janeiro;gloria;35;2;2;1;2;2;2;2;2;;12;4;5;12;3;2;2;2;3;;1;2;1;;Atleta  e estagi†rio no tribunal;1;2;2;;2;3;1;;2;Um pouco mais pro lado;1;06:30;20:00;5;225;0;;;08:00;18:00;2;115;0;6;3;2;;2;2;2;2;2;2;2;2;;2;;;Dentro da barraca;1;1;;3;10;160;40;15;7;20;10;6;10;7;4.5;8;10;5;10;5;2;12;1;;1;1;1;1;1;2100;1600;1200;800;1200;800;500;300;2;2;2;2;2;1;2;2;2;;1;5;2;2;1;1;2;;1;2;5;1;1;5;3;3;2;3;2;2;1;1;1;1;2;;1;2
106;1;;;;10:53;11:15;;;20/11/1980;2;rio de janeiro;leme;10;2;2;2;2;2;2;1;1;;0;1;7;;1;1;2;2;;;1;1;1;Autonoma;Autonoma;2;1;2;;2;1;0;Gerente;1;;1;05:30;20:00;6;225;0;;;07:30;18:00;2;100;0;7;2;2;;1;2;2;2;2;1;2;2;;2;;1;;4;1;;2;10;180;30;;;;12;4,99;30;7;3.16;20;10;3;10;5;1;20;2;;1;1;1;2;1;2100;1000;1500;500;1500;500;;250;2;2;2;1;2;1;1;2;2;;1;8;1;2;2;2;2;;1;;;;;;5;5;4;5;4;2;2;2;2;2;2;;2;
107;1;;;;08:59;09:18;;;06/12/1986;1;rio de janeiro;copacabana;5;2;2;2;2;2;2;2;1;;0.50;2;6;;0;1;1;2;1;0;1;1;1;Garáom;Garáom;2;2;2;;1;1;1;;1;;1;06:00;20:00;4;;0;;;07:00;17:00;4;;0;6;1;2;;2;2;2;2;2;2;2;2;;2;;4;;4;;N∆o;1;10;180;100;;;;10;6;20;5;3.50;10;10;6;10;5;2;20;4;;1;1;2;1;1;2500;200;2500;200;1500;150;1500;100;1;2;2;2;2;2;2;2;2;;1;10;2;2;1;2;2;;1;4;1;1;1;5;4;4;4;4;5;2;2;2;2;2;2;;2;
108;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
